实体1,实体2,关系
就理论角度论证Bagging、Boosting的方差偏差问题,GradientBoostingDecisionTree为典型例子,question2answer
遇到过的深度学习中的偏差与方差问题？,神经网络的拟合能力非常强，因此它的训练误差（偏差）通常较小；,question2answer
遇到过的深度学习中的偏差与方差问题？,但是过强的拟合能力会导致较大的方差，使模型的测试误差（泛化误差）增大；,question2answer
遇到过的深度学习中的偏差与方差问题？,因此深度学习的核心工作之一就是研究如何降低模型的泛化误差，这类方法统称为正则化方法。,question2answer
遇到过的深度学习中的偏差与方差问题？,dropout,question2answer
遇到过的深度学习中的偏差与方差问题？,dense中的normalization,question2answer
遇到过的深度学习中的偏差与方差问题？,数据的shuffle,question2answer
方差、偏差与模型的复杂度之间的关系？,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8ly6pdyouj30dn07eq38.jpg),question2answer
什么叫生成模型？,"求自变量和因变量的联合概率分布，P(x,y);再通过贝叶斯公式：P(y/x)=p(x,y)/p(x)。",question2answer
什么叫生成模型？,说白了就是玩的一手x在不同类别下出现的概率+不同类别的概率+x出现的概率进行复合计算，复合的时候考虑独立性的问题。,question2answer
什么叫判别模型？,求一个通过自变量能够表示出因变量的公式y=F(x)或者p(y/x)，核心是对于x找到一个最合适的公式得到y,question2answer
什么时候会选择生成/判别模型？,明确一点：绝大多数情况下，判别模型都要比生成模型效果好，而且需要的数据量和前提假设都要小于生成模型，上面的概念中可得原因。,question2answer
什么时候会选择生成/判别模型？,所以这个问题更想问的是什么时候要去用生成模型：,question2answer
什么时候会选择生成/判别模型？,但是如果存在异常点检测的需求，或者样本中有部分异常点的情况下，判别模型会结合所有数据进行拟合；而生成模型则是通过分布拟合的方式减少该部分的影响,question2answer
什么时候会选择生成/判别模型？,如果明明知道隐变量在此次分类的过程中起到非常巨大作用的情况下，判别模型对隐变量的学习往往通过人为构造，更加不确定性,question2answer
什么时候会选择生成/判别模型？,一般会追问，如何构造？,question2answer
什么时候会选择生成/判别模型？,FM/FFM,question2answer
什么时候会选择生成/判别模型？,NeuralNetwork,question2answer
什么时候会选择生成/判别模型？,线性Dense,question2answer
什么时候会选择生成/判别模型？,非线性激活,question2answer
CRF/朴素贝叶斯/EM/最大熵模型/马尔科夫随机场/混合高斯模型各自是什么模型？,因为这几个模型中都有概率计算的过程，不像knn，svm等都是距离计算一看就知道是判别模型。,question2answer
CRF/朴素贝叶斯/EM/最大熵模型/马尔科夫随机场/混合高斯模型各自是什么模型？,生成式模型：朴素贝叶斯，混合高斯模型，马尔科夫随机场，EM,question2answer
CRF/朴素贝叶斯/EM/最大熵模型/马尔科夫随机场/混合高斯模型各自是什么模型？,仔细看过这些模型细节的朋友都应该知道，他们最后都是判断x属于拟合一个正负样本分布，然后对比属于正负样本的概率,question2answer
CRF/朴素贝叶斯/EM/最大熵模型/马尔科夫随机场/混合高斯模型各自是什么模型？,判别式模型：最大熵模型，CRF,question2answer
我的理解：,无论是生成还是判别模型都是来求有监督模型的，目的就是求分类函数y=F(x)或者条件概率分布P(y/x)，通过分类函数或者条件概率函数进行数据分类,question2answer
我的理解：,算出属于正负样本的概率在相互对比的就是生成模型，直接得到结果概率的就是判别模型,question2answer
我的理解：,生成模型得分布，判别模型得最优划分,question2answer
我的理解：,生成模型可以得到判别模型，反之不成立,question2answer
我的理解：,生成模型是求联合概率分布，判别模型是求条件概率分布，这句话不错，但是如果只回答到这，我认为是背答案式回答，其实生成模型的也是求的条件概率是通过的是联合概率得到的，而判别模型是之间得到，用来做分类的话，大概率都是条件概率作为最终结果；补充一下，二分情况下，如果单纯只用联合概率也可以判断,question2answer
极大似然估计 - MLE,原理：利用已知的样本结果，反推最有可能（最大概率）导致这样结果的参数值。,question2answer
极大似然估计 - MLE,似然函数可以表示为：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g924j4sibwj306g00r0sk.jpg)。目的使求的使似然函数能够达到最大情况下的θ'即为未知参数θ最大似然估计值,question2answer
最大后验估计 - MAP,"MAP的基础使贝叶斯公式：P(θ/X)=P(θ,X)/P(X)。目的是通过观测值使得后验概率P(θ,X)最大即可",question2answer
极大似然估计与最大后验概率的区别？,最大似然估计中的采样满足所有采样都是独立同分布的假设,question2answer
极大似然估计与最大后验概率的区别？,最大后验概率在考虑了p(X/θ)的同时，还考虑了p(θ),question2answer
到底什么是似然什么是概率估计？,似然：给定了x求θ真实的可能性,question2answer
到底什么是似然什么是概率估计？,概率估计：给定了θ，X=x的可能性,question2answer
DNN与DeepFM之间的区别?,DNN是DeepFM中的一个部分，DeepFM多一次特征，多一个FM层的二次交叉特征,question2answer
Wide&Deep与DeepFM之间的区别?,DeepFM对Wide&Deep中的Wide层进行了优化，增加了交叉特征,question2answer
你在使用deepFM的时候是如何处理欠拟合和过拟合问题的？,欠拟合：增加deep部分的层数，增加epoch的轮数，增加learningrate，减少正则化力度,question2answer
你在使用deepFM的时候是如何处理欠拟合和过拟合问题的？,过拟合：在deep层直接增加dropout的率，减少epoch轮数，增加更多的数据，增加正则化力度，shuffle数据,question2answer
DeepFM怎么优化的？,embedding向量可以通过FM初始化,question2answer
DeepFM怎么优化的？,Deep层可以做优化,question2answer
DeepFM怎么优化的？,NFM:把deep层的做NFM类型的处理，其实就是deep层在输入之前也做一个二阶特征的交叉处理和fm层一致,question2answer
DeepFM怎么优化的？,FM层可以变得交叉更多阶,question2answer
DeepFM怎么优化的？,XDeepFM,question2answer
不定长文本数据如何输入deepFM？,截断补齐,question2answer
不定长文本数据如何输入deepFM？,结合文本id+文本长度，在做文本处理之前，先做不等长的sum_pooled的操作,question2answer
deepfm的embedding初始化有什么值得注意的地方吗？,"常规的是Xavier，输出和输出可以保持正态分布且方差相近：np.random.rand(layer\[n1],layer\[n])*np.sqrt(1/layer\[n1])",question2answer
deepfm的embedding初始化有什么值得注意的地方吗？,"relu的情况下通常是HE，保证半数神经元失活的情况下对输出方差影响最小:：np.random.rand(layer\[n1],layer\[n])*np.sqrt(2/layer\[n1])",question2answer
deepfm的embedding初始化有什么值得注意的地方吗？,文本项目上也可以用预训练好的特征,question2answer
主要使用了什么机制?,Attention机制，针对不同的广告，用户历史行为与该广告的权重是不同的。,question2answer
activation unit的作用,基于Attention机制，结合当前需对比的不同目标，将用户历史行为进行不同的权重分配。,question2answer
activation unit的作用,![](https://tva1.sinaimg.cn/large/006tNbRwgy1ga15ugjlkmj308901imx1.jpg),question2answer
activation unit的作用,通常用户兴趣可以由历史行为(点击/浏览/收藏)等合并得到，及![](https://tva1.sinaimg.cn/large/006tNbRwgy1ga15vxtcu8j302w01imwy.jpg),question2answer
activation unit的作用,activationunit在这种思路上，认为面对不同的对象Va兴趣的权重Wi应该也是变换而不是固定的，所以用了g(ViVa)来动态刻画不同目标下的历史行为的不同重要性,question2answer
DICE怎么设计的,先对input数据进行bn，在进行sigmoid归一化到01，再进行一个加权平衡alpha*(1x_p)`*`x+x_p`*`x,question2answer
DICE怎么设计的,"x_p=tf.sigmoid(tf.layers.batch_normalization(x,center=False,scale=False,training=True))",question2answer
DICE怎么设计的,aplha*(1x_p)*x+x_p*x,question2answer
DICE使用的过程中，有什么需要注意的地方,在用batch_normalization的时候，需要设置traning=True，否则在做test的时候，获取不到training过程中的各batch的期望,question2answer
DICE使用的过程中，有什么需要注意的地方,test的时候，方差计算利用的是期望的无偏估计计算方法:E(u^2)`*`m/(m1),question2answer
选用的原因？,类似deepfm和FNN等模型的高阶的特征交互来自于dnn部分，但是这样的特征交互是不可控且隐式的，难以描述的,question2answer
选用的原因？,向量级别的特征交互而不是元素级交互,question2answer
选用的原因？,经验上，vectorwise的方式构建的特征交叉关系比bitwise的方式更容易学习,question2answer
选用的原因？,我也不知道具体好在哪，如果有大佬会可以指导一下，感恩,question2answer
选用的原因？,"之前用的deepfm在历史数据的拟合上出现了瓶颈：A\[""篮球"",""足球"",""健身""]，B\[""篮球"",""电脑"",""蔡徐坤""]，会给A推荐""蔡徐坤""，但是实际上不合理",question2answer
选用的原因？,"思路一：改变Memorization为attention网络，强化feature直接的关系，对B进行""电脑""与""蔡徐坤""之间的绑定而不是""篮球""和""蔡徐坤""之间的绑定",question2answer
选用的原因？,思路二：改变Memorization为更优化更合理的低价特征交互，比如DCN或者XDeepFM,question2answer
什么叫显示隐式？什么叫元素级/向量级？什么叫做高阶/低阶特征交互？,显示是可以写出feature交互的公式，隐式相反,question2answer
什么叫显示隐式？什么叫元素级/向量级？什么叫做高阶/低阶特征交互？,元素级是以feature值交互，向量级是feature向量级点乘处理,question2answer
什么叫显示隐式？什么叫元素级/向量级？什么叫做高阶/低阶特征交互？,高阶特征是类似DNN这种多层特征交互，低阶特征交互是FM这种特征单层处理方式,question2answer
简单介绍一下XDeepFm的思想？,借鉴了DeepFm的整体结构，保持了两个部分的组合：低阶特征交互+高阶特征交互，**低价特征来记忆高频历史数据场景，高阶特征交互来进行稀疏场景的泛化**,question2answer
简单介绍一下XDeepFm的思想？,高阶特征交互：DNN,question2answer
简单介绍一下XDeepFm的思想？,低价特征交互：DCN结构(![](https://tva1.sinaimg.cn/large/006tNbRwgy1g9ihwd6wucj305q00la9v.jpg)),question2answer
简单介绍一下XDeepFm的思想？,这样的网络结构保证来来自X0的1，2，3...N阶的特征组合,question2answer
简单介绍一下XDeepFm的思想？,借鉴来DCN的交叉网络的特殊结构**自动构造有限高阶交叉特征**：![](https://tva1.sinaimg.cn/large/006tNbRwgy1g9iidr9x2bj306r01lglh.jpg),question2answer
简单介绍一下XDeepFm的思想？,流程概述：,question2answer
简单介绍一下XDeepFm的思想？,featureembedding,question2answer
简单介绍一下XDeepFm的思想？,"构造\[batch,field,embedding_size]的input，分别进入DNN、CIN、Linear层",question2answer
简单介绍一下XDeepFm的思想？,CIN中：,question2answer
简单介绍一下XDeepFm的思想？,"先记录\[batch,field,embedding_size]作为X0，并切分为embedding`*`\[batch,field,1]份",question2answer
简单介绍一下XDeepFm的思想？,设置三层隐层，单层结点数为200，单层操作如下（以X1为例）：,question2answer
简单介绍一下XDeepFm的思想？,"获取上一次的layerout：X0，并进行切分：embedding`*`\[batch,field,1]",question2answer
简单介绍一下XDeepFm的思想？,"进行外积：embedding`*`\[batch,field,1]`*`embedding`*`\[batch,field,1]得到\[embedding,batch,field,field]",question2answer
简单介绍一下XDeepFm的思想？,"对\[embedding,batch,field,field]进行压缩\[embedding,batch,field`*`field]，在对结果进行\[1,field`*`field,output_layer]卷积得到缩\[embedding,batch,output_layer]",question2answer
简单介绍一下XDeepFm的思想？,加偏置项，并进行激活函数处理，完成一轮处理,question2answer
简单介绍一下XDeepFm的思想？,"将若干轮的处理结果按照hidden_size维进行合并，并对embedding维度进行pooling得到\[batch,embedding]的output层即为结果",question2answer
简单介绍一下XDeepFm的思想？,实际过程中，可以对每层对结果进行采样泛化；可以通过最后层输出的残差连接保证梯度消失等等,question2answer
和DCN比，有哪些核心的变化？,DCN是bitwise的，而CIN是vectorwise的,question2answer
和DCN比，有哪些核心的变化？,DCN每层是1～l+1阶特征，而CIN每层只包含l+1阶的组合特征,question2answer
和DCN比，有哪些核心的变化？,![](https://tva1.sinaimg.cn/large/006tNbRwgy1g9ihwd6wucj305q00la9v.jpg)和![](https://tva1.sinaimg.cn/large/006tNbRwgy1g9iidr9x2bj306r01lglh.jpg)差异的![](https://tva1.sinaimg.cn/large/006tNbRwgy1g9in06u4m6j300j00f0sh.jpg)导致的,question2answer
时间复杂度多少？,假设CIN和DNN每层神经元/向量个数都为H，网络深度为L,question2answer
时间复杂度多少？,CIN:O(m`*`L`*`H`*`H),question2answer
时间复杂度多少？,DNN:O(m`*`D`*`H+L`*`H`*`H),question2answer
变长数据如何处理的？,input数据中只拿了近20次的点击，部分用户是没有20次的历史行为的，所以我们记录了每一个用户实际点击的次数，在做embedding的时候，我们除以的是真实的historylength,question2answer
变长数据如何处理的？,20次点击过去一周内的行为，曾经尝试扩大历史点击次数到40，60没有很明显的效果提升,question2answer
变长数据如何处理的？,点击行为是处理过的，停留时间过短的click不要,question2answer
变长数据如何处理的？,点击行为是处理过的，连续多次的重复点击会去重,question2answer
变长数据如何处理的？,点击行为是处理过的，session内的点击次数需要在约定范围内,question2answer
input是怎么构造的,最近历史20次点击商品id/文章id，如果不足不需要补充,question2answer
input是怎么构造的,最近历史20次点击商品id对应的品牌/文章id对应的类目，如果不足不需要补充,question2answer
input是怎么构造的,最近历史20次点击商品id对应的类别/文章id对应的栏目，如果不足不需要补充,question2answer
input是怎么构造的,最后一次点击商品id/文章id,question2answer
input是怎么构造的,历史上最高频的商品id/文章id,question2answer
input是怎么构造的,exampleage,question2answer
input是怎么构造的,user_info:age/gender/地理位置/注册时长,question2answer
input是怎么构造的,cross_info:最后一次点击距click时间，最后一次点击商品浏览次数,question2answer
input是怎么构造的,phone_info:设备信息，登录状态,question2answer
最后一次点击实际如何处理的？,我们会以日进行切分，每日首次点击的lastclick会以\[unknow]进行替代，隔日的点击不会进行计算,question2answer
output的是时候train和predict如何处理的,train的时候是进行负采样的,question2answer
output的是时候train和predict如何处理的,predict的时候是进行的all_embeddingdot,question2answer
如何进行负采样的？,该次点击时间之前所以的item或者article作为候选集,question2answer
如何进行负采样的？,负采样我们会进行剔除，把该次click下的同时show的样本进行剔除后采样,question2answer
如何进行负采样的？,均衡采样，不会根据其他样本showtime进行加权,question2answer
如何进行负采样的？,为了尽可能多的修正全量样本，尽快达到收敛,question2answer
如何进行负采样的？,为了避免其他推荐产生的交叉影响,question2answer
